Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,TimeUnit,TimeElapsed,TimeStamp
micro,5.0,16.0,semiring-monitor,x > 0.5 since[16:16] x > 0,1000000000.0,ms,22214.0,2021-02-13 17:13:41.746204-06:00
micro,1.0,128.0,lattice-monitor,once[128:128] x > 0.5,10000000.0,ms,3824.18203354,2021-02-13 17:25:01.718362-06:00
micro,3.0,16.0,semiring-monitor,once[16:] x > 0.5,1000000000.0,ms,9172.0,2021-02-13 17:12:29.895053-06:00
micro,0.0,4096.0,Reelay,once[0:4096] {x > 0.5},10000000.0,ms,3710.0,2021-02-13 18:41:42.919740-06:00
micro,3.0,16384.0,lattice-monitor,once[16384:] x > 0.5,10000000.0,ms,1507287.24003,2021-02-13 20:53:02.536022-06:00
micro,4.0,128.0,semiring-monitor,x > 0.5 since[0:128] x > 0,1000000000.0,ms,32830.0,2021-02-13 17:26:28.407286-06:00
micro,0.0,512.0,Reelay,once[0:512] {x > 0.5},10000000.0,ms,3480.0,2021-02-13 17:36:14.963918-06:00
micro,3.0,64.0,Reelay,once[64:] {x > 0.5},10000000.0,ms,2002.0,2021-02-13 17:21:11.836290-06:00
micro,2.0,16384.0,lattice-monitor,once[16384:32768] x > 0.5,10000000.0,ms,1615058.37011,2021-02-13 20:25:50.583266-06:00
micro,7.0,16384.0,semiring-monitor,x > 0.5 since[16384:] x > 0,1000000000.0,ms,32973.0,2021-02-13 22:38:59.071532-06:00
micro,2.0,64.0,semiring-monitor,once[64:128] x > 0.5,1000000000.0,ms,14210.0,2021-02-13 17:20:55.135482-06:00
micro,2.0,32.0,semiring-monitor,once[32:64] x > 0.5,1000000000.0,ms,13795.0,2021-02-13 18:02:49.527260-06:00
micro,2.0,2048.0,Reelay,once[2048:4096] {x > 0.5},10000000.0,ms,3678.0,2021-02-13 18:33:26.279867-06:00
micro,4.0,64.0,lattice-monitor,x > 0 since[0:64] x > 0.5,10000000.0,ms,2385.48922539,2021-02-13 18:07:05.197142-06:00
micro,7.0,32.0,lattice-monitor,x > 0 since[32:] x > 0.5,10000000.0,ms,3586.07888222,2021-02-13 17:19:18.584116-06:00
micro,6.0,2048.0,Reelay,{x > 0.0} since[2048:4096] {x > 0.5},10000000.0,ms,12770.0,2021-02-13 18:38:43.299114-06:00
micro,0.0,1024.0,semiring-monitor,once[0:1024] x > 0.5,1000000000.0,ms,14163.0,2021-02-13 18:23:46.861339-06:00
micro,6.0,512.0,lattice-monitor,x > 0 since[512:1024] x > 0.5,10000000.0,ms,18983.9191437,2021-02-13 17:42:32.447576-06:00
micro,6.0,128.0,semiring-monitor,x > 0.5 since[128:256] x > 0,1000000000.0,ms,39571.0,2021-02-13 17:28:25.790328-06:00
micro,4.0,1024.0,lattice-monitor,x > 0 since[0:1024] x > 0.5,10000000.0,ms,2760.65611839,2021-02-13 18:26:10.398490-06:00
micro,0.0,16384.0,semiring-monitor,once[0:16384] x > 0.5,1000000000.0,ms,13326.0,2021-02-13 19:58:45.622318-06:00
micro,2.0,32.0,lattice-monitor,once[32:64] x > 0.5,10000000.0,ms,2193.73607635,2021-02-13 17:16:23.109532-06:00
micro,4.0,512.0,semiring-monitor,x > 0.5 since[0:512] x > 0,1000000000.0,ms,31406.0,2021-02-13 18:20:21.257082-06:00
micro,3.0,64.0,lattice-monitor,once[64:] x > 0.5,10000000.0,ms,2366.90187454,2021-02-13 18:06:52.113708-06:00
micro,3.0,512.0,lattice-monitor,once[512:] x > 0.5,10000000.0,ms,13913.8109684,2021-02-13 17:38:59.898050-06:00
