Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,InputType,TimeUnit,TimeElapsed,Memory,TimeStamp
memory,1.0,128.0,semiring-monitor,once[128:128] x > 0.5,10000000.0,Increasing,ms,548.0,62024.0,2021-03-08 16:51:36.309321-06:00
memory,4.0,32768.0,semiring-monitor,x > 0.5 since[0:32768] x > 0,10000000.0,Increasing,ms,2211.0,6629008.0,2021-03-08 15:01:41.440510-06:00
memory,2.0,16.0,lattice-monitor,once[16:32] x > 0.5,200000.0,Increasing,ms,184.892892838,149235376.0,2021-03-08 16:46:26.603840-06:00
memory,0.0,512.0,Reelay,once[0:512] {x > 0.5},3072.0,Decreasing,ms,1052.0,13528064.0,2021-03-08 15:20:19.592311-06:00
memory,6.0,4096.0,lattice-monitor,x > 0 since[4096:8192] x > 0.5,200000.0,Increasing,ms,864.443063736,172401416.0,2021-03-08 12:22:00.423674-06:00
memory,2.0,262144.0,semiring-monitor,once[262144:524288] x > 0.5,10000000.0,Increasing,ms,1060.0,50398072.0,2021-03-08 16:39:30.090044-06:00
memory,0.0,65536.0,lattice-monitor,once[0:65536] x > 0.5,200000.0,Increasing,ms,329.730033875,235320272.0,2021-03-08 15:02:26.727194-06:00
memory,0.0,16384.0,semiring-monitor,once[0:16384] x > 0.5,10000000.0,Increasing,ms,1076.0,3079072.0,2021-03-08 14:59:59.876534-06:00
memory,3.0,16384.0,semiring-monitor,once[16384:] x > 0.5,10000000.0,Random,ms,694.0,63976.0,2021-03-08 18:09:18.725735-06:00
memory,4.0,16.0,Reelay,{x > 0.0} since[0:16] {x > 0.5},100000.0,Random,ms,1551.0,9676904.0,2021-03-08 16:46:48.309304-06:00
memory,6.0,64.0,semiring-monitor,x > 0.5 since[64:128] x > 0,10000000.0,Decreasing,ms,2709.0,135552.0,2021-03-08 12:03:29.946322-06:00
memory,3.0,524288.0,lattice-monitor,once[524288:] x > 0.5,3145728.0,Increasing,ms,4870.17416954,1303715328.0,2021-03-08 15:08:49.379352-06:00
memory,2.0,4096.0,semiring-monitor,once[4096:8192] x > 0.5,10000000.0,Decreasing,ms,1094.0,818144.0,2021-03-08 17:06:54.799875-06:00
memory,2.0,32.0,lattice-monitor,once[32:64] x > 0.5,200000.0,Random,ms,187.788009644,149235376.0,2021-03-08 16:48:17.188449-06:00
memory,1.0,2048.0,lattice-monitor,once[2048:2048] x > 0.5,200000.0,Increasing,ms,98.7920761108,162649944.0,2021-03-08 16:58:18.721572-06:00
memory,4.0,8192.0,Reelay,{x > 0.0} since[0:8192] {x > 0.5},49152.0,Random,ms,812.0,14694792.0,2021-03-08 12:50:17.570790-06:00
memory,5.0,16.0,Reelay,{x > 0.0} since[16:16] {x > 0.5},10000.0,Increasing,ms,365.0,8695976.0,2021-03-08 19:53:26.178707-06:00
