Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,TimeUnit,TimeElapsed,Memory,TimeStamp,InputType
memory,6.0,4096.0,semiring-monitor,x > 0.5 since[4096:8192] x > 0,100000000.0,ms,3955.0,205491.0,2021-03-01 19:08:18.431609-06:00,Random
memory,4.0,32768.0,lattice-monitor,x > 0 since[0:32768] x > 0.5,2000000.0,ms,762.529850006,5100658.0,2021-03-01 18:50:03.554887-06:00,Random
memory,6.0,131072.0,Reelay,{x > 0.0} since[131072:262144] {x > 0.5},786432.0,ms,4395.0,138383.0,2021-03-01 18:51:22.059713-06:00,Random
memory,1.0,512.0,lattice-monitor,once[512:512] x > 0.5,2000000.0,ms,118.334054947,4031570.0,2021-03-01 18:37:33.898160-06:00,Random
memory,5.0,64.0,semiring-monitor,x > 0.5 since[64:64] x > 0,100000000.0,ms,2253.0,75921.0,2021-03-01 18:55:54.948955-06:00,Random
memory,4.0,16.0,lattice-monitor,x > 0 since[0:16] x > 0.5,2000000.0,ms,527.585983276,4031570.0,2021-03-01 18:06:23.267703-06:00,Random
memory,7.0,1024.0,Reelay,{x > 0.0} since[1024:] {x > 0.5},100000.0,ms,431.0,138359.0,2021-03-01 19:36:43.081635-06:00,Random
memory,7.0,4096.0,semiring-monitor,x > 0.5 since[4096:] x > 0,100000000.0,ms,3381.0,172707.0,2021-03-01 19:27:53.791060-06:00,Random
memory,6.0,2048.0,lattice-monitor,x > 0 since[2048:4096] x > 0.5,2000000.0,ms,1274.1689682,4555858.0,2021-03-01 18:58:05.450250-06:00,Random
memory,4.0,524288.0,lattice-monitor,x > 0 since[0:524288] x > 0.5,2000000.0,ms,908.47992897,8617298.0,2021-03-01 19:22:36.521123-06:00,Random
memory,3.0,16.0,lattice-monitor,once[16:] x > 0.5,2000000.0,ms,174.685001373,4031570.0,2021-03-01 19:24:11.007289-06:00,Random
memory,6.0,8192.0,semiring-monitor,x > 0.5 since[8192:16384] x > 0,100000000.0,ms,3988.0,336563.0,2021-03-01 18:10:26.069325-06:00,Random
memory,7.0,8192.0,lattice-monitor,x > 0 since[8192:] x > 0.5,2000000.0,ms,909.168958664,5100658.0,2021-03-01 19:28:19.626361-06:00,Random
memory,6.0,2048.0,lattice-monitor,x > 0 since[2048:4096] x > 0.5,2000000.0,ms,1263.27896118,4555858.0,2021-03-01 19:07:49.210851-06:00,Random
memory,1.0,4096.0,Reelay,once[4096:4096] {x > 0.5},16384.0,ms,20311.0,138401.0,2021-03-02 09:14:00.586318-06:00,Random
memory,6.0,4096.0,lattice-monitor,x > 0 since[4096:8192] x > 0.5,2000000.0,ms,1353.15489769,5067890.0,2021-03-01 18:39:05.426827-06:00,Random
memory,4.0,2048.0,Reelay,{x > 0.0} since[0:2048] {x > 0.5},100000.0,ms,455.0,137463.0,2021-03-01 19:36:54.833100-06:00,Random
memory,4.0,2048.0,semiring-monitor,x > 0.5 since[0:2048] x > 0,100000000.0,ms,3242.0,90797.0,2021-03-01 19:17:26.602050-06:00,Random
memory,0.0,32.0,semiring-monitor,once[0:32] x > 0.5,100000000.0,ms,1321.0,74621.0,2021-03-01 18:26:07.856119-06:00,Random
memory,2.0,262144.0,lattice-monitor,once[262144:524288] x > 0.5,2000000.0,ms,971.634149551,8617298.0,2021-03-01 18:42:07.404075-06:00,Random
memory,1.0,262144.0,lattice-monitor,once[262144:262144] x > 0.5,2000000.0,ms,497.516155243,8617298.0,2021-03-01 18:22:39.920962-06:00,Random
memory,0.0,524288.0,Reelay,once[0:524288] {x > 0.5},3145728.0,ms,4744.0,138401.0,2021-03-01 19:22:07.854843-06:00,Random
memory,5.0,128.0,Reelay,{x > 0.0} since[128:128] {x > 0.5},100000.0,ms,4508.0,138383.0,2021-03-02 09:37:52.294815-06:00,Random
memory,0.0,32.0,lattice-monitor,once[0:32] x > 0.5,2000000.0,ms,227.774143219,4031570.0,2021-03-01 18:35:50.642132-06:00,Random
memory,4.0,131072.0,Reelay,{x > 0.0} since[0:131072] {x > 0.5},786432.0,ms,3469.0,137591.0,2021-03-01 19:00:50.991257-06:00,Random
memory,6.0,1024.0,Reelay,{x > 0.0} since[1024:2048] {x > 0.5},100000.0,ms,558.0,138359.0,2021-03-01 18:09:04.678269-06:00,Random
memory,3.0,128.0,semiring-monitor,once[128:] x > 0.5,100000000.0,ms,888.0,74356.0,2021-03-01 18:07:38.006882-06:00,Random
memory,7.0,128.0,Reelay,{x > 0.0} since[128:] {x > 0.5},100000.0,ms,428.0,138383.0,2021-03-01 19:25:42.436715-06:00,Random
memory,5.0,64.0,semiring-monitor,x > 0.5 since[64:64] x > 0,100000000.0,ms,2237.0,75921.0,2021-03-01 19:25:08.368020-06:00,Random
memory,6.0,524288.0,Reelay,{x > 0.0} since[524288:1048576] {x > 0.5},3145728.0,ms,17550.0,137591.0,2021-03-01 18:34:26.973439-06:00,Random
memory,2.0,4096.0,lattice-monitor,once[4096:8192] x > 0.5,2000000.0,ms,506.379127502,5055634.0,2021-03-01 19:17:47.769610-06:00,Random
memory,4.0,128.0,semiring-monitor,x > 0.5 since[0:128] x > 0,100000000.0,ms,3261.0,75436.0,2021-03-01 19:35:12.804190-06:00,Random
memory,6.0,16.0,lattice-monitor,x > 0 since[16:32] x > 0.5,2000000.0,ms,895.292043686,4031570.0,2021-03-01 19:24:20.338370-06:00,Random
memory,6.0,256.0,Reelay,{x > 0.0} since[256:512] {x > 0.5},100000.0,ms,532.0,138431.0,2021-03-01 18:17:56.371296-06:00,Random
memory,6.0,2048.0,Reelay,{x > 0.0} since[2048:4096] {x > 0.5},100000.0,ms,532.0,138359.0,2021-03-01 18:09:31.004451-06:00,Random
memory,7.0,131072.0,semiring-monitor,x > 0.5 since[131072:] x > 0,100000000.0,ms,3392.0,3220133.0,2021-03-01 19:01:23.631837-06:00,Random
memory,4.0,32.0,semiring-monitor,x > 0.5 since[0:32] x > 0,100000000.0,ms,3289.0,74667.0,2021-03-01 18:06:50.125115-06:00,Random
memory,4.0,524288.0,lattice-monitor,x > 0 since[0:524288] x > 0.5,2000000.0,ms,904.362916946,8617298.0,2021-03-01 19:32:19.316669-06:00,Random
memory,2.0,32.0,semiring-monitor,once[32:64] x > 0.5,100000000.0,ms,1310.0,74619.0,2021-03-01 18:45:38.041094-06:00,Random
memory,6.0,128.0,semiring-monitor,x > 0.5 since[128:256] x > 0,100000000.0,ms,3881.0,78514.0,2021-03-01 18:46:41.150393-06:00,Random
memory,2.0,16384.0,lattice-monitor,once[16384:32768] x > 0.5,2000000.0,ms,628.749132156,6108338.0,2021-03-01 19:18:42.353854-06:00,Random
memory,2.0,128.0,semiring-monitor,once[128:256] x > 0.5,100000000.0,ms,1300.0,75388.0,2021-03-01 18:46:28.443459-06:00,Random
memory,7.0,32.0,lattice-monitor,x > 0 since[32:] x > 0.5,2000000.0,ms,577.506065369,4031570.0,2021-03-01 18:26:27.480153-06:00,Random
memory,0.0,128.0,lattice-monitor,once[0:128] x > 0.5,2000000.0,ms,235.038995743,4031570.0,2021-03-01 19:35:04.749954-06:00,Random
memory,2.0,16.0,semiring-monitor,once[16:32] x > 0.5,100000000.0,ms,1323.0,74491.0,2021-03-01 18:06:20.398492-06:00,Random
memory,7.0,64.0,lattice-monitor,x > 0 since[64:] x > 0.5,2000000.0,ms,583.559989929,4031570.0,2021-03-01 19:15:31.178414-06:00,Random
memory,6.0,64.0,semiring-monitor,x > 0.5 since[64:128] x > 0,100000000.0,ms,3894.0,76465.0,2021-03-01 18:55:59.255361-06:00,Random
memory,6.0,1024.0,Reelay,{x > 0.0} since[1024:2048] {x > 0.5},100000.0,ms,549.0,138359.0,2021-03-01 18:38:13.703285-06:00,Random
memory,3.0,65536.0,lattice-monitor,once[65536:] x > 0.5,2000000.0,ms,352.031946182,5563538.0,2021-03-01 18:31:03.817574-06:00,Random
memory,1.0,512.0,lattice-monitor,once[512:512] x > 0.5,2000000.0,ms,118.310928345,4031570.0,2021-03-01 18:47:17.496108-06:00,Random
memory,6.0,512.0,semiring-monitor,x > 0.5 since[512:1024] x > 0,100000000.0,ms,3889.0,90802.0,2021-03-01 18:47:32.097711-06:00,Random
memory,5.0,32768.0,lattice-monitor,x > 0 since[32768:32768] x > 0.5,2000000.0,ms,1311.75780296,6108338.0,2021-03-01 18:50:08.515556-06:00,Random
memory,2.0,2048.0,Reelay,once[2048:4096] {x > 0.5},100000.0,ms,150.0,138577.0,2021-03-01 19:27:07.394929-06:00,Random
memory,2.0,131072.0,Reelay,once[131072:262144] {x > 0.5},786432.0,ms,1311.0,138329.0,2021-03-01 19:10:27.669744-06:00,Random
memory,0.0,32768.0,lattice-monitor,once[0:32768] x > 0.5,2000000.0,ms,466.992139816,5100658.0,2021-03-01 18:30:28.791484-06:00,Random
memory,3.0,16384.0,Reelay,once[16384:] {x > 0.5},100000.0,ms,75.0,138329.0,2021-03-01 18:10:41.546052-06:00,Random
memory,0.0,4096.0,semiring-monitor,once[0:4096] x > 0.5,100000000.0,ms,1320.0,107135.0,2021-03-01 18:58:17.644989-06:00,Random
memory,3.0,32768.0,lattice-monitor,once[32768:] x > 0.5,2000000.0,ms,323.830842972,5563538.0,2021-03-01 18:30:34.821464-06:00,Random
memory,1.0,64.0,semiring-monitor,once[64:64] x > 0.5,100000000.0,ms,684.0,74355.0,2021-03-01 18:07:09.577669-06:00,Random
memory,5.0,65536.0,semiring-monitor,x > 0.5 since[65536:65536] x > 0,100000000.0,ms,2270.0,1647252.0,2021-03-01 18:31:12.020277-06:00,Random
memory,3.0,32768.0,Reelay,once[32768:] {x > 0.5},100000.0,ms,90.0,138329.0,2021-03-01 18:50:02.290463-06:00,Random
memory,2.0,64.0,lattice-monitor,once[64:128] x > 0.5,2000000.0,ms,285.238981247,4031570.0,2021-03-01 19:05:29.653126-06:00,Random
memory,2.0,262144.0,semiring-monitor,once[262144:524288] x > 0.5,100000000.0,ms,1319.0,2171519.0,2021-03-01 18:22:46.485850-06:00,Random
memory,4.0,4096.0,lattice-monitor,x > 0 since[0:4096] x > 0.5,2000000.0,ms,616.48607254,4559986.0,2021-03-01 18:48:40.528076-06:00,Random
memory,1.0,4096.0,Reelay,once[4096:4096] {x > 0.5},16384.0,ms,20155.0,138401.0,2021-03-02 08:56:05.033490-06:00,Random
memory,5.0,4096.0,lattice-monitor,x > 0 since[4096:4096] x > 0.5,2000000.0,ms,1048.01106453,5067890.0,2021-03-01 18:39:01.984055-06:00,Random
memory,0.0,16.0,Reelay,once[0:16] {x > 0.5},100000.0,ms,147.0,138401.0,2021-03-01 18:25:42.257363-06:00,Random
memory,6.0,524288.0,lattice-monitor,x > 0 since[524288:1048576] x > 0.5,2000000.0,ms,1954.43701744,8617298.0,2021-03-01 19:23:06.099915-06:00,Random
memory,3.0,16384.0,semiring-monitor,once[16384:] x > 0.5,100000000.0,ms,895.0,74358.0,2021-03-01 19:28:31.348385-06:00,Random
memory,5.0,8192.0,semiring-monitor,x > 0.5 since[8192:8192] x > 0,100000000.0,ms,2261.0,270995.0,2021-03-01 19:37:54.084181-06:00,Random
memory,6.0,16.0,lattice-monitor,x > 0 since[16:32] x > 0.5,2000000.0,ms,902.673006058,4555858.0,2021-03-01 19:14:34.584031-06:00,Random
memory,3.0,256.0,semiring-monitor,once[256:] x > 0.5,100000000.0,ms,888.0,74356.0,2021-03-01 19:35:35.818877-06:00,Random
memory,7.0,32768.0,Reelay,{x > 0.0} since[32768:] {x > 0.5},100000.0,ms,478.0,138359.0,2021-03-01 18:21:10.697175-06:00,Random
memory,1.0,65536.0,semiring-monitor,once[65536:65536] x > 0.5,100000000.0,ms,697.0,74358.0,2021-03-01 18:21:17.869017-06:00,Random
memory,5.0,128.0,lattice-monitor,x > 0 since[128:128] x > 0.5,2000000.0,ms,789.721012115,4031570.0,2021-03-01 18:56:19.366674-06:00,Random
memory,7.0,512.0,semiring-monitor,x > 0.5 since[512:] x > 0,100000000.0,ms,3338.0,86690.0,2021-03-01 18:47:37.615295-06:00,Random
memory,4.0,262144.0,Reelay,{x > 0.0} since[0:262144] {x > 0.5},1572864.0,ms,7032.0,137847.0,2021-03-01 19:11:28.978155-06:00,Random
memory,1.0,256.0,lattice-monitor,once[256:256] x > 0.5,2000000.0,ms,105.201005936,4031570.0,2021-03-01 18:07:59.818135-06:00,Random
memory,4.0,16.0,lattice-monitor,x > 0 since[0:16] x > 0.5,2000000.0,ms,509.162187576,4031570.0,2021-03-01 18:25:48.486438-06:00,Random
memory,1.0,2048.0,lattice-monitor,once[2048:2048] x > 0.5,2000000.0,ms,157.695055008,4543602.0,2021-03-01 19:36:49.427812-06:00,Random
memory,4.0,524288.0,lattice-monitor,x > 0 since[0:524288] x > 0.5,2000000.0,ms,902.181863785,8617298.0,2021-03-01 18:24:12.600543-06:00,Random
memory,1.0,128.0,lattice-monitor,once[128:128] x > 0.5,2000000.0,ms,99.7431278229,4031570.0,2021-03-01 18:07:34.533855-06:00,Random
memory,7.0,64.0,semiring-monitor,x > 0.5 since[64:] x > 0,100000000.0,ms,3323.0,75937.0,2021-03-01 18:07:29.064381-06:00,Random
memory,7.0,32768.0,lattice-monitor,x > 0 since[32768:] x > 0.5,2000000.0,ms,1072.08895683,6173874.0,2021-03-01 18:21:09.569316-06:00,Random
memory,4.0,131072.0,semiring-monitor,x > 0.5 since[0:131072] x > 0,100000000.0,ms,3245.0,1122991.0,2021-03-01 19:00:56.463678-06:00,Random
memory,0.0,16384.0,Reelay,once[0:16384] {x > 0.5},100000.0,ms,162.0,138329.0,2021-03-01 18:20:18.903527-06:00,Random
memory,1.0,64.0,lattice-monitor,once[64:64] x > 0.5,2000000.0,ms,113.128900528,4031570.0,2021-03-01 19:15:12.786085-06:00,Random
memory,2.0,262144.0,lattice-monitor,once[262144:524288] x > 0.5,2000000.0,ms,962.244987488,8617298.0,2021-03-01 18:32:23.400210-06:00,Random
memory,6.0,1024.0,lattice-monitor,x > 0 since[1024:2048] x > 0.5,2000000.0,ms,1142.96197891,4555858.0,2021-03-01 19:26:52.596073-06:00,Random
memory,5.0,8192.0,Reelay,{x > 0.0} since[8192:8192] {x > 0.5},32768.0,ms,81166.0,138359.0,2021-03-02 08:50:29.581958-06:00,Random
memory,3.0,131072.0,semiring-monitor,once[131072:] x > 0.5,100000000.0,ms,891.0,74359.0,2021-03-01 18:41:22.165724-06:00,Random
memory,4.0,4096.0,lattice-monitor,x > 0 since[0:4096] x > 0.5,2000000.0,ms,613.969802856,4543602.0,2021-03-01 18:38:57.116421-06:00,Random
memory,2.0,65536.0,lattice-monitor,once[65536:131072] x > 0.5,2000000.0,ms,781.188011169,7578898.0,2021-03-01 19:09:55.376281-06:00,Random
memory,7.0,64.0,semiring-monitor,x > 0.5 since[64:] x > 0,100000000.0,ms,3334.0,75937.0,2021-03-01 19:25:18.013193-06:00,Random
memory,3.0,256.0,Reelay,once[256:] {x > 0.5},100000.0,ms,60.0,138401.0,2021-03-01 19:25:52.056770-06:00,Random
memory,2.0,8192.0,semiring-monitor,once[8192:16384] x > 0.5,100000000.0,ms,1321.0,139901.0,2021-03-01 19:28:01.520778-06:00,Random
memory,1.0,1024.0,semiring-monitor,once[1024:1024] x > 0.5,100000000.0,ms,681.0,74357.0,2021-03-01 18:28:16.173762-06:00,Random
memory,3.0,16384.0,lattice-monitor,once[16384:] x > 0.5,2000000.0,ms,286.65304184,5563538.0,2021-03-01 18:59:17.199267-06:00,Random
memory,3.0,128.0,semiring-monitor,once[128:] x > 0.5,100000000.0,ms,886.0,74356.0,2021-03-01 19:05:57.444112-06:00,Random
memory,5.0,1024.0,Reelay,{x > 0.0} since[1024:1024] {x > 0.5},100000.0,ms,32276.0,138383.0,2021-03-02 09:04:00.166303-06:00,Random
memory,6.0,131072.0,lattice-monitor,x > 0 since[131072:262144] x > 0.5,2000000.0,ms,1995.81599236,8617298.0,2021-03-01 19:01:03.697563-06:00,Random
memory,2.0,131072.0,semiring-monitor,once[131072:262144] x > 0.5,100000000.0,ms,1315.0,1122943.0,2021-03-01 18:41:19.312023-06:00,Random
memory,6.0,65536.0,semiring-monitor,x > 0.5 since[65536:131072] x > 0,100000000.0,ms,3958.0,2171572.0,2021-03-01 19:39:24.836745-06:00,Random
memory,7.0,4096.0,semiring-monitor,x > 0.5 since[4096:] x > 0,100000000.0,ms,3355.0,172707.0,2021-03-01 18:10:04.534518-06:00,Random
memory,6.0,524288.0,lattice-monitor,x > 0 since[524288:1048576] x > 0.5,2000000.0,ms,1966.42589569,6786290.0,2021-03-01 19:03:36.369679-06:00,Random
memory,6.0,16384.0,Reelay,{x > 0.0} since[16384:32768] {x > 0.5},100000.0,ms,596.0,138359.0,2021-03-01 18:10:52.917209-06:00,Random
memory,7.0,128.0,lattice-monitor,x > 0 since[128:] x > 0.5,2000000.0,ms,610.218048096,4031570.0,2021-03-01 18:27:18.003108-06:00,Random
memory,7.0,32768.0,lattice-monitor,x > 0 since[32768:] x > 0.5,2000000.0,ms,1071.55680656,6173874.0,2021-03-01 19:09:46.329520-06:00,Random
memory,1.0,262144.0,lattice-monitor,once[262144:262144] x > 0.5,2000000.0,ms,499.842882156,8617298.0,2021-03-01 19:21:00.682707-06:00,Random
memory,1.0,16.0,Reelay,once[16:16] {x > 0.5},100000.0,ms,510.0,138577.0,2021-03-02 08:25:51.738265-06:00,Random
memory,0.0,512.0,Reelay,once[0:512] {x > 0.5},100000.0,ms,162.0,138793.0,2021-03-01 19:26:12.370750-06:00,Random
memory,4.0,256.0,Reelay,{x > 0.0} since[0:256] {x > 0.5},100000.0,ms,467.0,137463.0,2021-03-01 18:08:04.855556-06:00,Random
memory,3.0,524288.0,Reelay,once[524288:] {x > 0.5},3145728.0,ms,2448.0,138401.0,2021-03-01 19:41:58.028811-06:00,Random
memory,0.0,65536.0,Reelay,once[0:65536] {x > 0.5},100000.0,ms,152.0,138353.0,2021-03-01 18:11:32.619980-06:00,Random
memory,2.0,4096.0,semiring-monitor,once[4096:8192] x > 0.5,100000000.0,ms,1285.0,107133.0,2021-03-01 19:37:17.974663-06:00,Random
memory,4.0,131072.0,semiring-monitor,x > 0.5 since[0:131072] x > 0,100000000.0,ms,3279.0,1122991.0,2021-03-01 18:41:29.580102-06:00,Random
memory,6.0,65536.0,lattice-monitor,x > 0 since[65536:131072] x > 0.5,2000000.0,ms,1828.49597931,6786290.0,2021-03-01 18:50:41.335412-06:00,Random
memory,4.0,512.0,semiring-monitor,x > 0.5 since[0:512] x > 0,100000000.0,ms,3281.0,78508.0,2021-03-01 19:16:34.726648-06:00,Random
memory,3.0,2048.0,lattice-monitor,once[2048:] x > 0.5,2000000.0,ms,228.897094727,4031570.0,2021-03-01 18:28:45.209758-06:00,Random
memory,6.0,16384.0,Reelay,{x > 0.0} since[16384:32768] {x > 0.5},100000.0,ms,566.0,138383.0,2021-03-01 18:40:02.105695-06:00,Random
memory,2.0,512.0,semiring-monitor,once[512:1024] x > 0.5,100000000.0,ms,1301.0,78460.0,2021-03-01 19:16:30.480769-06:00,Random
memory,5.0,128.0,Reelay,{x > 0.0} since[128:128] {x > 0.5},100000.0,ms,4219.0,137463.0,2021-03-02 09:10:46.236700-06:00,Random
memory,4.0,4096.0,lattice-monitor,x > 0 since[0:4096] x > 0.5,2000000.0,ms,621.622085571,4543602.0,2021-03-01 18:58:23.872248-06:00,Random
memory,7.0,131072.0,semiring-monitor,x > 0.5 since[131072:] x > 0,100000000.0,ms,3373.0,3220133.0,2021-03-01 18:12:47.583138-06:00,Random
memory,1.0,512.0,Reelay,once[512:512] {x > 0.5},100000.0,ms,15775.0,138401.0,2021-03-02 08:26:41.942267-06:00,Random
memory,7.0,16384.0,Reelay,{x > 0.0} since[16384:] {x > 0.5},100000.0,ms,467.0,138383.0,2021-03-01 19:09:18.773449-06:00,Random
memory,2.0,1024.0,Reelay,once[1024:2048] {x > 0.5},100000.0,ms,166.0,138353.0,2021-03-01 19:07:11.602425-06:00,Random
memory,1.0,32.0,lattice-monitor,once[32:32] x > 0.5,2000000.0,ms,104.287147522,4031570.0,2021-03-01 18:45:36.413531-06:00,Random
memory,3.0,8192.0,Reelay,once[8192:] {x > 0.5},100000.0,ms,72.0,138353.0,2021-03-01 19:37:46.783594-06:00,Random
memory,5.0,2048.0,semiring-monitor,x > 0.5 since[2048:2048] x > 0,100000000.0,ms,2230.0,123539.0,2021-03-01 18:09:27.377639-06:00,Random
memory,5.0,1024.0,Reelay,{x > 0.0} since[1024:1024] {x > 0.5},100000.0,ms,36419.0,138359.0,2021-03-02 09:49:09.828122-06:00,Random
memory,2.0,256.0,lattice-monitor,once[256:512] x > 0.5,2000000.0,ms,302.222013474,4031570.0,2021-03-01 18:27:25.915500-06:00,Random
memory,1.0,8192.0,semiring-monitor,once[8192:8192] x > 0.5,100000000.0,ms,697.0,74357.0,2021-03-01 18:19:53.455868-06:00,Random
memory,2.0,2048.0,lattice-monitor,once[2048:4096] x > 0.5,2000000.0,ms,417.29092598,4543602.0,2021-03-01 18:28:42.982783-06:00,Random
memory,0.0,32.0,lattice-monitor,once[0:32] x > 0.5,2000000.0,ms,234.257936478,4031570.0,2021-03-01 19:05:01.420355-06:00,Random
memory,2.0,262144.0,semiring-monitor,once[262144:524288] x > 0.5,100000000.0,ms,1320.0,2171519.0,2021-03-01 18:51:55.979346-06:00,Random
memory,7.0,512.0,lattice-monitor,x > 0 since[512:] x > 0.5,2000000.0,ms,659.356117249,4031570.0,2021-03-01 18:28:08.957480-06:00,Random
memory,3.0,262144.0,Reelay,once[262144:] {x > 0.5},1572864.0,ms,1196.0,138401.0,2021-03-01 18:13:05.224852-06:00,Random
memory,5.0,131072.0,lattice-monitor,x > 0 since[131072:131072] x > 0.5,2000000.0,ms,1487.30182648,8617298.0,2021-03-01 18:22:06.682003-06:00,Random
memory,4.0,524288.0,Reelay,{x > 0.0} since[0:524288] {x > 0.5},3145728.0,ms,13672.0,137463.0,2021-03-01 19:22:37.519560-06:00,Random
memory,6.0,64.0,semiring-monitor,x > 0.5 since[64:128] x > 0,100000000.0,ms,3908.0,76465.0,2021-03-01 19:05:43.050521-06:00,Random
memory,2.0,262144.0,semiring-monitor,once[262144:524288] x > 0.5,100000000.0,ms,1328.0,2171519.0,2021-03-01 18:32:28.735833-06:00,Random
memory,4.0,131072.0,lattice-monitor,x > 0 since[0:131072] x > 0.5,2000000.0,ms,884.723901749,7050482.0,2021-03-01 18:41:23.137007-06:00,Random
memory,4.0,8192.0,semiring-monitor,x > 0.5 since[0:8192] x > 0,100000000.0,ms,3247.0,139949.0,2021-03-01 18:49:09.214042-06:00,Random
memory,5.0,2048.0,semiring-monitor,x > 0.5 since[2048:2048] x > 0,100000000.0,ms,2224.0,123539.0,2021-03-01 19:07:46.920853-06:00,Random
memory,0.0,8192.0,semiring-monitor,once[0:8192] x > 0.5,100000000.0,ms,1318.0,139903.0,2021-03-01 19:37:41.658643-06:00,Random
memory,0.0,2048.0,lattice-monitor,once[0:2048] x > 0.5,2000000.0,ms,282.285928726,4031570.0,2021-03-01 18:28:39.904873-06:00,Random
memory,3.0,32768.0,Reelay,once[32768:] {x > 0.5},100000.0,ms,92.0,138353.0,2021-03-01 18:30:35.196525-06:00,Random
memory,2.0,4096.0,Reelay,once[4096:8192] {x > 0.5},100000.0,ms,152.0,138401.0,2021-03-01 18:29:10.083047-06:00,Random
memory,2.0,65536.0,Reelay,once[65536:131072] {x > 0.5},100000.0,ms,219.0,138329.0,2021-03-01 19:29:26.045173-06:00,Random
memory,4.0,512.0,lattice-monitor,x > 0 since[0:512] x > 0.5,2000000.0,ms,525.876998901,4031570.0,2021-03-01 18:47:22.030841-06:00,Random
