Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,InputType,TimeUnit,TimeElapsed,TimeStamp
micro,5.0,128.0,Reelay,{x > 0.0} since[128:128] {x > 0.5},1500000.0,Increasing,ms,13416.0,2021-03-11 10:26:48.169720-06:00
micro,1.0,1024.0,Reelay,once[1024:1024] {x > 0.5},1500000.0,Decreasing,ms,32592.0,2021-03-11 10:22:15.685542-06:00
micro,6.0,256.0,semiring-monitor,x > 0.5 since[256:512] x > 0,60000000.0,Decreasing,ms,2330.0,2021-03-10 11:19:30.196687-06:00
micro,0.0,16384.0,lattice-monitor,once[0:16384] x > 0.5,10000000.0,Decreasing,ms,1988.64006996,2021-03-11 03:11:02.990219-06:00
micro,7.0,2048.0,semiring-monitor,x > 0.5 since[2048:] x > 0,60000000.0,Increasing,ms,2049.0,2021-03-11 00:23:57.144722-06:00
micro,4.0,524288.0,lattice-monitor,x > 0 since[0:524288] x > 0.5,10000000.0,Decreasing,ms,4679.33082581,2021-03-11 14:41:26.345699-06:00
micro,5.0,131072.0,semiring-monitor,x > 0.5 since[131072:131072] x > 0,60000000.0,Decreasing,ms,1327.0,2021-03-11 22:10:18.506701-06:00
micro,2.0,65536.0,lattice-monitor,once[65536:131072] x > 0.5,10000000.0,Increasing,ms,3851.69410706,2021-03-10 23:24:23.961861-06:00
micro,1.0,1024.0,semiring-monitor,once[1024:1024] x > 0.5,60000000.0,Increasing,ms,500.0,2021-03-10 19:57:57.549262-06:00
micro,7.0,64.0,lattice-monitor,x > 0 since[64:] x > 0.5,10000000.0,Increasing,ms,2664.99900818,2021-03-11 18:31:07.759080-06:00
micro,5.0,256.0,Reelay,{x > 0.0} since[256:256] {x > 0.5},1500000.0,Decreasing,ms,8673.0,2021-03-11 08:32:50.457740-06:00
micro,4.0,128.0,Reelay,{x > 0.0} since[0:128] {x > 0.5},1500000.0,Increasing,ms,1595.0,2021-03-11 10:52:57.955878-06:00
micro,5.0,64.0,Reelay,{x > 0.0} since[64:64] {x > 0.5},1500000.0,Decreasing,ms,3397.0,2021-03-11 08:31:42.663243-06:00
micro,7.0,256.0,Reelay,{x > 0.0} since[256:] {x > 0.5},1500000.0,Decreasing,ms,1714.0,2021-03-11 10:57:58.171441-06:00
micro,7.0,65536.0,semiring-monitor,x > 0.5 since[65536:] x > 0,60000000.0,Increasing,ms,2015.0,2021-03-11 18:22:08.951506-06:00
micro,6.0,128.0,semiring-monitor,x > 0.5 since[128:256] x > 0,60000000.0,Increasing,ms,2341.0,2021-03-10 19:46:46.013097-06:00
micro,0.0,32768.0,lattice-monitor,once[0:32768] x > 0.5,10000000.0,Increasing,ms,2013.57698441,2021-03-10 23:22:49.349674-06:00
micro,4.0,4096.0,Reelay,{x > 0.0} since[0:4096] {x > 0.5},1500000.0,Increasing,ms,1671.0,2021-03-10 12:24:43.832796-06:00
micro,0.0,32768.0,semiring-monitor,once[0:32768] x > 0.5,60000000.0,Increasing,ms,802.0,2021-03-11 18:19:35.112094-06:00
micro,0.0,32.0,lattice-monitor,once[0:32] x > 0.5,10000000.0,Increasing,ms,1053.81703377,2021-03-10 19:42:06.835109-06:00
micro,7.0,128.0,lattice-monitor,x > 0 since[128:] x > 0.5,10000000.0,Increasing,ms,2852.3581028,2021-03-10 23:37:04.810667-06:00
micro,6.0,1024.0,Reelay,{x > 0.0} since[1024:2048] {x > 0.5},1500000.0,Increasing,ms,102107.0,2021-03-10 20:02:39.116080-06:00
micro,7.0,16.0,Reelay,{x > 0.0} since[16:] {x > 0.5},1500000.0,Decreasing,ms,1727.0,2021-03-11 10:48:54.565481-06:00
micro,2.0,128.0,lattice-monitor,once[128:256] x > 0.5,10000000.0,Increasing,ms,1420.39585114,2021-03-11 14:47:21.660833-06:00
micro,7.0,16384.0,lattice-monitor,x > 0 since[16384:] x > 0.5,10000000.0,Decreasing,ms,4803.84397507,2021-03-10 19:32:48.880043-06:00
micro,1.0,8192.0,lattice-monitor,once[8192:8192] x > 0.5,10000000.0,Decreasing,ms,995.767116547,2021-03-11 16:39:22.987523-06:00
micro,3.0,512.0,Reelay,once[512:] {x > 0.5},1500000.0,Decreasing,ms,649.0,2021-03-10 19:53:03.080295-06:00
micro,6.0,524288.0,semiring-monitor,x > 0.5 since[524288:1048576] x > 0,60000000.0,Decreasing,ms,2485.0,2021-03-11 14:42:13.609114-06:00
micro,7.0,8192.0,lattice-monitor,x > 0 since[8192:] x > 0.5,10000000.0,Increasing,ms,4354.77495193,2021-03-10 14:34:10.222723-06:00
micro,4.0,64.0,semiring-monitor,x > 0.5 since[0:64] x > 0,60000000.0,Increasing,ms,1938.0,2021-03-10 19:44:07.575292-06:00
micro,6.0,262144.0,semiring-monitor,x > 0.5 since[262144:524288] x > 0,60000000.0,Increasing,ms,2383.0,2021-03-10 19:38:33.104072-06:00
