Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,TimeUnit,TimeElapsed,TimeStamp
timescales,0.0,65536.0,semiring-monitor,((once[:65536]{x > 0.0}) -> ((not {x > 0.5}) since {x > 0.0})),100000000.0,ms,3398.0,2021-03-02 20:13:04.592705-06:00
timescales,1.0,4096.0,semiring-monitor,({x > 0.25} -> (historically[:4096](not {x > 0.5}))),100000000.0,ms,2436.0,2021-03-02 21:38:36.045478-06:00
timescales,6.0,65536.0,lattice-monitor,F6(65536),5000000.0,ms,1345.058918,2021-03-02 21:16:13.522170-06:00
timescales,5.0,32768.0,semiring-monitor,(({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ({x > 0.5} since[32768:65536] {x > 0.0})),100000000.0,ms,6504.0,2021-03-02 20:11:57.730155-06:00
timescales,2.0,65536.0,lattice-monitor,F2(65536),5000000.0,ms,5772.96686172,2021-03-02 18:39:09.577850-06:00
timescales,0.0,1024.0,semiring-monitor,((once[:1024]{x > 0.0}) -> ((not {x > 0.5}) since {x > 0.0})),100000000.0,ms,3375.0,2021-03-02 18:27:18.675529-06:00
timescales,0.0,1024.0,lattice-monitor,F0(1024),5000000.0,ms,1481.03404045,2021-03-02 18:27:14.732802-06:00
timescales,0.0,32.0,lattice-monitor,F0(32),5000000.0,ms,1254.8429966,2021-03-02 18:49:11.029685-06:00
timescales,5.0,16.0,lattice-monitor,F5(16),5000000.0,ms,3868.74699593,2021-03-02 17:13:56.530560-06:00
timescales,1.0,131072.0,semiring-monitor,({x > 0.25} -> (historically[:131072](not {x > 0.5}))),100000000.0,ms,2400.0,2021-03-02 21:17:22.511319-06:00
timescales,2.0,16384.0,semiring-monitor,({x > 0.25} && !{x > 0.0} && once {x > 0.0} ) -> ((not {x > 0.5}) since[16384:32768] {x > 0.0}),100000000.0,ms,6529.0,2021-03-02 17:01:36.091417-06:00
timescales,9.0,32768.0,lattice-monitor,F9(32768),5000000.0,ms,5562.99495697,2021-03-02 21:45:56.837712-06:00
